src_ip,dst_ip,protocol,packet_size,timestamp
192.168.137.192,192.168.137.1,17.0,79.0,1762228365.852023
192.168.137.192,192.168.137.1,17.0,79.0,1762228365.852527
142.251.221.174,192.168.137.192,17.0,77.0,1762228365.869674
23.48.32.220,192.168.137.192,6.0,86.0,1762228365.869674
142.251.221.174,192.168.137.192,17.0,77.0,1762228365.869674
142.251.221.174,192.168.137.192,17.0,77.0,1762228365.869674
142.251.221.174,192.168.137.192,17.0,77.0,1762228365.869674
23.48.32.220,192.168.137.192,6.0,86.0,1762228365.869674
192.168.137.192,23.48.32.220,6.0,66.0,1762228365.869888
192.168.137.192,142.251.221.174,17.0,75.0,1762228365.870418
192.168.137.192,142.251.221.174,17.0,78.0,1762228365.870505
192.168.137.192,142.251.221.174,17.0,80.0,1762228365.870593
192.168.137.192,23.48.32.220,6.0,90.0,1762228365.870794
192.168.137.192,142.250.67.202,17.0,71.0,1762228365.910301
23.48.32.220,192.168.137.192,6.0,54.0,1762228366.004641
192.168.137.192,142.250.67.202,17.0,71.0,1762228366.083102
142.250.67.202,192.168.137.192,17.0,68.0,1762228366.129182
192.168.137.192,192.168.137.1,17.0,92.0,1762228366.404508
192.168.137.192,192.168.137.1,17.0,92.0,1762228366.564027
192.168.137.192,192.168.137.1,17.0,79.0,1762228366.877992
192.168.137.192,192.168.137.1,17.0,79.0,1762228366.878526
192.168.137.1,192.168.137.192,17.0,363.0,1762228367.080875
192.168.137.1,192.168.137.192,17.0,488.0,1762228367.080875
192.168.137.1,192.168.137.192,17.0,363.0,1762228367.080875
192.168.137.1,192.168.137.192,17.0,488.0,1762228367.080875
192.168.137.192,192.168.137.1,17.0,79.0,1762228367.082421
192.168.137.1,192.168.137.192,17.0,488.0,1762228367.092089
192.168.137.192,13.107.246.58,6.0,66.0,1762228367.093761
13.107.246.58,192.168.137.192,6.0,66.0,1762228367.119464
192.168.137.192,13.107.246.58,6.0,54.0,1762228367.119624
192.168.137.192,13.107.246.58,6.0,1494.0,1762228367.121843
192.168.137.192,13.107.246.58,6.0,710.0,1762228367.121843
13.107.246.58,192.168.137.192,6.0,54.0,1762228367.136173
13.107.246.58,192.168.137.192,6.0,153.0,1762228367.165989
192.168.137.192,13.107.246.58,6.0,964.0,1762228367.166651
13.107.246.58,192.168.137.192,6.0,335.0,1762228367.222602
192.168.137.192,13.107.246.58,6.0,128.0,1762228367.224603
192.168.137.192,13.107.246.58,6.0,146.0,1762228367.225235
192.168.137.192,13.107.246.58,6.0,326.0,1762228367.225485
13.107.246.58,192.168.137.192,6.0,54.0,1762228367.284475
13.107.246.58,192.168.137.192,6.0,125.0,1762228367.284475
192.168.137.192,13.107.246.58,6.0,85.0,1762228367.284981
13.107.246.58,192.168.137.192,6.0,1514.0,1762228367.285402
13.107.246.58,192.168.137.192,6.0,2974.0,1762228367.285402
13.107.246.58,192.168.137.192,6.0,1514.0,1762228367.285402
192.168.137.192,13.107.246.58,6.0,54.0,1762228367.285497
13.107.246.58,192.168.137.192,6.0,10274.0,1762228367.288926
192.168.137.192,13.107.246.58,6.0,54.0,1762228367.289006
13.107.246.58,192.168.137.192,6.0,1514.0,1762228367.304277
13.107.246.58,192.168.137.192,6.0,8814.0,1762228367.304277
192.168.137.192,13.107.246.58,6.0,66.0,1762228367.3044
13.107.246.58,192.168.137.192,6.0,1514.0,1762228367.317058
192.168.137.192,13.107.246.58,6.0,66.0,1762228367.317143
13.107.246.58,192.168.137.192,6.0,1514.0,1762228367.340062
192.168.137.192,13.107.246.58,6.0,66.0,1762228367.340215
13.107.246.58,192.168.137.192,6.0,20494.0,1762228367.344846
13.107.246.58,192.168.137.192,6.0,1514.0,1762228367.344846
13.107.246.58,192.168.137.192,6.0,10274.0,1762228367.344846
192.168.137.192,13.107.246.58,6.0,66.0,1762228367.344946
192.168.137.192,13.107.246.58,6.0,54.0,1762228367.345046
192.168.137.192,13.107.246.58,6.0,54.0,1762228367.345093
13.107.246.58,192.168.137.192,6.0,262.0,1762228367.376262
